Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,annual_mean_temperature contribution,annual_precipitation contribution,elevation contribution,mean_diurnal_range contribution,mean_temp_wettest_quarter contribution,precipitation_coldest_quarter contribution,precipitation_driest_quarter contribution,precipitation_seasonality contribution,precipitation_warmest_quarter contribution,temperature_seasonality contribution,annual_mean_temperature permutation importance,annual_precipitation permutation importance,elevation permutation importance,mean_diurnal_range permutation importance,mean_temp_wettest_quarter permutation importance,precipitation_coldest_quarter permutation importance,precipitation_driest_quarter permutation importance,precipitation_seasonality permutation importance,precipitation_warmest_quarter permutation importance,temperature_seasonality permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
12748_0,357,2.0893,2.2039,500,0.9384,90,1.6016,0.8901,0.0179,10328,38.1962,6.1356,16.6229,11.3733,1.9467,0.4297,1.2374,16.3847,0.9412,6.7323,78.4069,2.1317,0.0000,10.8401,3.4248,0.0000,0.0000,2.4800,0.0000,2.7165,7.1530,0.0665,1.0000,0.0153,0.1551,0.0000,0.0000,0E0,5.0000,0.0153,0.1551,0.0000,0.0000,0E0,10.0000,0.0761,0.1041,0.0840,0.1778,0E0,8.5190,0.0153,0.1551,0.0000,0.0000,0E0,11.9503,0.1558,0.0842,0.0980,0.1889,0E0,11.1088,0.1252,0.0910,0.0896,0.1778,0E0,8.5190,0.0153,0.1551,0.0000,0.0000,0E0,8.5202,0.0153,0.1551,0.0784,0.1778,0E0,8.5190,0.0153,0.1551,0.0000,0.0000,0E0,8.5190,0.0153,0.1551,0.0000,0.0000,0E0,9.1119,0.0355,0.1236,0.0784,0.1778,0E0
12748_1,357,1.9810,2.1032,500,0.9298,90,2.1325,0.9294,0.0142,10321,30.6359,7.2576,17.1964,12.9927,5.2885,0.6665,0.0077,18.5813,1.1535,6.2200,68.3853,2.0159,0.0000,15.5743,8.3566,0.0000,0.0000,3.9073,0.0000,1.7605,7.2616,0.0734,1.0000,0.0211,0.1512,0.0980,0.1000,0E0,5.0000,0.0211,0.1512,0.0980,0.1000,0E0,10.0000,0.0211,0.1512,0.0980,0.1000,0E0,0.7665,0.0210,0.7860,0.0000,0.0000,3.7E-7,11.8977,0.0834,0.1068,0.0980,0.1000,0E0,12.1127,0.0946,0.1037,0.1036,0.1000,0E0,15.3792,0.2361,0.0775,0.1148,0.1111,0E0,12.3939,0.1094,0.1000,0.1036,0.1000,0E0,16.0522,0.2646,0.0742,0.1289,0.1111,0E0,11.3299,0.0533,0.1183,0.0980,0.1000,0E0,10.7832,0.0275,0.1380,0.0980,0.1000,0E0
12748_2,358,1.9669,2.0836,500,0.9270,89,2.1786,0.9417,0.0119,10318,37.5244,7.1711,16.5332,13.3161,3.5941,0.3697,0.5177,15.6169,0.5650,4.7916,73.5914,1.2676,0.0000,15.2932,0.1377,1.2731,0.0000,4.7010,0.0000,3.7361,7.2751,0.0740,1.0000,0.0229,0.1470,0.0000,0.0000,0E0,5.0000,0.0229,0.1470,0.0000,0.0000,0E0,10.0000,0.0229,0.1470,0.0000,0.0000,0E0,11.3430,0.0229,0.1470,0.0000,0.0000,0E0,11.3430,0.0229,0.1470,0.0000,0.0000,0E0,12.4689,0.0724,0.1089,0.1089,0.0787,0E0,11.3430,0.0229,0.1470,0.0000,0.0000,0E0,13.9898,0.1474,0.0898,0.1173,0.0899,0E0,11.3430,0.0229,0.1470,0.0000,0.0000,0E0,11.3430,0.0229,0.1470,0.0000,0.0000,0E0,11.4740,0.0267,0.1399,0.1061,0.0674,0E0
12748_3,358,1.9397,2.0532,500,0.9255,89,2.2782,0.9483,0.0109,10317,31.6382,7.1347,16.7474,12.0388,4.0657,0.5639,0.5215,19.4772,1.2425,6.5701,72.6345,0.0000,0.2907,16.2412,2.0517,1.5558,0.0000,4.2375,0.0000,2.9885,7.3027,0.0760,1.0000,0.0245,0.1461,0.1089,0.0562,0E0,5.0000,0.0245,0.1461,0.1089,0.0562,0E0,10.0000,0.0245,0.1461,0.1089,0.0562,0E0,0.9062,0.0245,0.7810,0.0000,0.0000,2.941E-7,0.9062,0.0245,0.7810,0.0000,0.0000,2.941E-7,12.9863,0.0802,0.1089,0.1089,0.0562,0E0,15.6777,0.2021,0.0820,0.1257,0.0674,0E0,16.8520,0.2430,0.0754,0.1369,0.0787,0E0,15.5973,0.2006,0.0826,0.1257,0.0562,0E0,0.9062,0.0245,0.7810,0.0000,0.0000,2.941E-7,11.8722,0.0253,0.1438,0.1089,0.0562,0E0
12748_4,358,1.9727,2.0949,500,0.9290,89,2.1804,0.9354,0.0135,10320,36.4555,5.6289,15.9676,12.4194,3.2381,0.4853,0.9050,16.3869,0.6300,7.8832,75.7039,0.9890,1.0353,13.9662,3.3970,0.0000,0.8098,3.7954,0.0262,0.2771,7.2720,0.0740,1.0000,0.0222,0.1470,0.1006,0.0899,0E0,5.0000,0.0222,0.1470,0.1006,0.0899,0E0,10.0000,0.0222,0.1470,0.1006,0.0899,0E0,0.7967,0.0221,0.7818,0.0000,0.0000,3.111E-7,0.7967,0.0221,0.7818,0.0000,0.0000,3.111E-7,12.4225,0.0920,0.1034,0.1034,0.1011,0E0,14.9665,0.2050,0.0810,0.1117,0.1236,0E0,12.5863,0.1019,0.1012,0.1034,0.1011,0E0,19.1034,0.3754,0.0636,0.1620,0.1236,0E0,11.7059,0.0542,0.1170,0.1006,0.0899,0E0,11.1093,0.0264,0.1394,0.1006,0.0899,0E0
12748 (average),357.6000,1.9899,2.1078,500.0000,0.9299,89.4000,2.0743,0.9290,0.0137,10320.8000,34.8900,6.6656,16.6135,12.4281,3.6266,0.5030,0.6379,17.2894,0.9064,6.4394,73.7444,1.2808,0.2652,14.3830,3.4736,0.5658,0.1620,3.8242,0.0052,2.2957,7.2529,0.0728,1.0000,0.0212,0.1493,0.0615,0.0492,0.0000,5.0000,0.0212,0.1493,0.0615,0.0492,0.0000,10.0000,0.0334,0.1391,0.0783,0.0848,0.0000,4.4663,0.0212,0.5302,0.0000,0.0000,0.0000,7.3788,0.0617,0.3802,0.0392,0.0578,0.0000,12.2198,0.0929,0.1032,0.1029,0.1028,0.0000,13.1771,0.1363,0.1085,0.0704,0.0604,0.0000,12.8684,0.1234,0.1043,0.1079,0.1095,0.0000,14.1230,0.1758,0.1045,0.0833,0.0582,0.0000,8.7608,0.0340,0.2637,0.0397,0.0380,0.0000,10.8701,0.0283,0.1369,0.0984,0.0983,0.0000
13468_0,44,2.7630,3.3999,500,0.9523,12,2.6987,0.9170,0.0488,10039,33.0070,4.3767,12.6057,4.2203,0.5016,4.1194,2.1364,9.0161,2.7180,27.2988,8.0443,0.3456,2.9651,5.8898,1.1225,1.4606,0.0000,11.1221,15.7268,53.3232,6.4498,0.0315,1.0000,0.0096,0.1348,0.0909,0.1667,1.005E-7,5.0000,0.0096,0.1348,0.0909,0.1667,1.005E-7,10.0000,0.0096,0.1348,0.0909,0.1667,1.005E-7,0.4030,0.0096,0.7873,0.0000,0.0000,5.674E-2,13.5175,0.0599,0.0696,0.0909,0.1667,1.551E-10,11.8825,0.0367,0.0909,0.0909,0.1667,2.15E-9,27.0381,0.3776,0.0210,0.1136,0.1667,1.068E-15,10.4097,0.0096,0.1348,0.0909,0.1667,1.005E-7,33.7168,0.5999,0.0145,0.1364,0.1667,2.72E-17,11.2248,0.0249,0.1041,0.0909,0.1667,8.082E-9,14.2467,0.0728,0.0630,0.1136,0.1667,5.736E-11
13468_1,45,2.6053,3.2294,500,0.9443,11,3.4542,0.9543,0.0386,10039,32.3048,0.3859,10.5948,5.8523,0.7971,5.4205,2.8063,12.9964,1.0100,27.8318,1.8661,0.0000,4.2760,0.0000,2.3673,0.0000,7.7014,0.0000,0.0000,83.7891,6.6104,0.0369,1.0000,0.0136,0.1232,0.0000,0.0000,9.942E-11,5.0000,0.0136,0.1232,0.0000,0.0000,9.942E-11,10.0000,0.0136,0.1232,0.0000,0.0000,9.942E-11,12.5838,0.0136,0.1232,0.0000,0.0000,9.942E-11,12.5838,0.0136,0.1232,0.0000,0.0000,9.942E-11,12.8611,0.0206,0.1111,0.1111,0.0909,2.825E-9,12.5838,0.0136,0.1232,0.0000,0.0000,9.942E-11,13.6871,0.0409,0.0909,0.1111,0.0909,3.906E-10,23.0216,0.2610,0.0311,0.1333,0.0909,8.986E-15,12.5838,0.0136,0.1232,0.0000,0.0000,9.942E-11,14.8987,0.0630,0.0739,0.1111,0.0909,4.993E-11
13468_2,45,2.5101,3.1423,500,0.9353,11,3.7437,0.9939,0.0014,10038,36.4025,4.9264,11.5231,3.9001,2.8657,0.0017,1.5918,9.4343,0.2990,29.0553,2.7558,0.0000,7.3797,0.0000,6.1340,0.0000,5.6937,0.0000,0.0000,78.0368,6.7057,0.0406,1.0000,0.0180,0.1192,0.1333,0.0000,6.933E-11,5.0000,0.0180,0.1192,0.1333,0.0000,6.933E-11,10.0000,0.0180,0.1192,0.1333,0.0000,6.933E-11,0.6370,0.0178,0.7719,0.0000,0.0000,5.794E-2,0.6370,0.0178,0.7719,0.0000,0.0000,5.794E-2,15.0319,0.0180,0.1192,0.1333,0.0000,6.933E-11,29.7847,0.4174,0.0232,0.1556,0.0000,1.054E-18,42.8385,0.7866,0.0118,0.2000,0.0000,5.924E-22,42.8385,0.7866,0.0118,0.2000,0.0000,5.924E-22,0.6370,0.0178,0.7719,0.0000,0.0000,5.794E-2,16.6704,0.0562,0.0814,0.1333,0.0000,1.038E-12
13468_3,45,2.8359,3.4945,500,0.9555,11,2.4137,0.9056,0.0511,10040,33.4706,3.4022,11.7349,3.1123,2.3076,1.3455,2.7400,14.1803,0.8934,26.8132,10.7800,0.0000,1.6315,0.0000,4.3568,0.0000,4.1098,0.0939,0.6576,78.3704,6.3791,0.0293,1.0000,0.0088,0.1233,0.0889,0.1818,2.865E-7,5.0000,0.0088,0.1233,0.0889,0.1818,2.865E-7,10.0000,0.0088,0.1233,0.0889,0.1818,2.865E-7,0.3813,0.0088,0.7758,0.0000,0.0000,6.127E-2,21.3691,0.2668,0.0262,0.0889,0.2727,3.409E-11,11.1501,0.0275,0.0888,0.0889,0.2727,5.006E-7,21.3691,0.2668,0.0262,0.0889,0.2727,3.409E-11,10.1589,0.0088,0.1233,0.0889,0.1818,2.865E-7,10.8340,0.0223,0.0961,0.0889,0.1818,3.213E-8,10.8340,0.0223,0.0961,0.0889,0.1818,3.213E-8,13.4251,0.0638,0.0587,0.0889,0.2727,1.972E-8
