Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,annual_mean_temperature contribution,annual_precipitation contribution,elevation contribution,isothermality contribution,max_temp_coldest_month contribution,max_temp_warmest_month contribution,mean_diurnal_range contribution,mean_temp_coldest_quarter contribution,mean_temp_driest_quarter contribution,mean_temp_warmest_quarter contribution,mean_temp_wettest_quarter contribution,precipitation_coldest_quarter contribution,precipitation_driest_month contribution,precipitation_driest_quarter contribution,precipitation_seasonality contribution,precipitation_warmest_quarter contribution,precipitation_wettest_month contribution,precipitation_wettest_quarter contribution,temp_annual_range contribution,temperature_seasonality contribution,annual_mean_temperature permutation importance,annual_precipitation permutation importance,elevation permutation importance,isothermality permutation importance,max_temp_coldest_month permutation importance,max_temp_warmest_month permutation importance,mean_diurnal_range permutation importance,mean_temp_coldest_quarter permutation importance,mean_temp_driest_quarter permutation importance,mean_temp_warmest_quarter permutation importance,mean_temp_wettest_quarter permutation importance,precipitation_coldest_quarter permutation importance,precipitation_driest_month permutation importance,precipitation_driest_quarter permutation importance,precipitation_seasonality permutation importance,precipitation_warmest_quarter permutation importance,precipitation_wettest_month permutation importance,precipitation_wettest_quarter permutation importance,temp_annual_range permutation importance,temperature_seasonality permutation importance,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
12748_0,357,2.1407,2.2594,500,0.9402,90,1.6656,0.8928,0.0179,10328,15.0404,4.2834,14.1828,5.8070,23.7145,2.8351,8.5233,0.9369,0.7193,1.0718,3.5568,0.0308,0.0000,0.0000,15.4895,0.1408,0.0000,0.0001,0.6172,3.0502,0.0000,0.2800,0.0000,11.8607,39.1824,25.2773,4.1550,0.0000,0.0000,9.4544,1.2052,0.5803,0.0000,0.0000,2.5033,1.2944,0.0000,1.8472,2.2031,0.1567,7.1048,0.0633,1.0000,0.0143,0.1513,0.0784,0.1778,0E0,5.0000,0.0143,0.1513,0.0784,0.1778,0E0,10.0000,0.0779,0.0989,0.0784,0.1778,0E0,0.6178,0.0143,0.7856,0.0000,0.0000,3.606E-7,12.3446,0.1706,0.0773,0.0980,0.1889,0E0,11.0731,0.1244,0.0869,0.0868,0.1778,0E0,10.8709,0.1174,0.0886,0.0812,0.1778,0E0,8.3610,0.0143,0.1513,0.0784,0.1778,0E0,13.3854,0.2118,0.0715,0.1092,0.1889,0E0,9.2440,0.0460,0.1131,0.0784,0.1778,0E0,9.0666,0.0405,0.1178,0.0784,0.1778,0E0
12748_1,357,2.0347,2.1636,500,0.9323,90,2.1803,0.9316,0.0139,10321,16.1970,1.7998,13.4032,5.2894,24.2456,1.3833,11.2177,3.1669,1.0254,2.8189,2.8259,0.1681,0.0009,0.0000,15.0617,0.0000,0.0001,0.0000,0.1077,1.2882,0.3368,0.0000,0.0000,10.0912,36.4880,31.1962,6.3133,0.0000,1.1001,10.1737,0.0000,0.0000,0.0000,0.0000,2.1730,0.0000,0.0000,0.0000,2.1277,0.0000,7.2079,0.0694,1.0000,0.0199,0.1427,0.0980,0.1000,0E0,5.0000,0.0199,0.1427,0.0980,0.1000,0E0,10.0000,0.0199,0.1427,0.0980,0.1000,0E0,0.7987,0.0198,0.7774,0.0000,0.0000,1.929E-7,12.8345,0.1277,0.0906,0.0980,0.1000,0E0,12.1624,0.0970,0.0981,0.0980,0.1000,0E0,15.5722,0.2414,0.0725,0.1148,0.1111,0E0,12.0187,0.0883,0.1000,0.0980,0.1000,0E0,16.3877,0.2744,0.0689,0.1232,0.1111,0E0,11.2281,0.0509,0.1147,0.0980,0.1000,0E0,10.7425,0.0291,0.1308,0.0980,0.1000,0E0
12748_2,358,2.0212,2.1460,500,0.9296,89,2.2311,0.9442,0.0117,10318,15.5154,1.8152,13.0035,5.8115,24.9866,1.2734,11.2390,2.9116,1.0457,2.4799,2.6984,0.0307,0.0006,0.0000,15.5641,0.0158,0.1724,0.0029,0.0983,1.3351,0.0762,0.5873,0.0000,14.9668,37.0857,25.7142,4.5243,0.0000,0.0000,9.0907,0.7309,0.0000,0.0000,0.0000,3.7658,0.9481,0.9532,0.0000,1.5052,0.0518,7.2229,0.0701,1.0000,0.0218,0.1392,0.1061,0.0674,0E0,5.0000,0.0218,0.1392,0.1061,0.0674,0E0,10.0000,0.0218,0.1392,0.1061,0.0674,0E0,0.8842,0.0217,0.7741,0.0000,0.0000,1.73E-7,0.8842,0.0217,0.7741,0.0000,0.0000,1.73E-7,12.4049,0.0673,0.1061,0.1061,0.0674,0E0,15.0502,0.1837,0.0781,0.1145,0.1011,0E0,13.5768,0.1229,0.0898,0.1061,0.0899,0E0,13.3174,0.1089,0.0926,0.1061,0.0674,0E0,0.8842,0.0217,0.7741,0.0000,0.0000,1.73E-7,11.5070,0.0260,0.1328,0.1061,0.0674,0E0
12748_3,358,1.9996,2.1234,500,0.9281,89,2.3252,0.9501,0.0108,10317,13.8940,1.5869,14.6819,3.3750,22.2625,1.5939,11.9650,6.5700,1.0700,1.9918,2.3800,0.0116,0.0009,0.0000,15.8224,0.0555,0.0021,0.3870,0.0860,2.2634,0.0000,0.2987,0.0000,14.1442,22.2436,37.7620,5.3523,0.0000,0.0000,16.6053,0.1676,0.3789,0.0000,0.0000,1.4831,0.7059,0.2640,0.0000,0.5944,0.0000,7.2437,0.0716,1.0000,0.0228,0.1401,0.1089,0.0562,0E0,5.0000,0.0228,0.1401,0.1089,0.0562,0E0,10.0000,0.0228,0.1401,0.1089,0.0562,0E0,0.8305,0.0228,0.7750,0.0000,0.0000,1.86E-7,0.8305,0.0228,0.7750,0.0000,0.0000,1.86E-7,12.5401,0.0643,0.1089,0.1089,0.0562,0E0,16.2028,0.2227,0.0737,0.1257,0.0787,0E0,15.6313,0.2080,0.0770,0.1257,0.0787,0E0,14.6468,0.1653,0.0833,0.1229,0.0562,0E0,0.8305,0.0228,0.7750,0.0000,0.0000,1.86E-7,11.7049,0.0258,0.1356,0.1089,0.0562,0E0
12748_4,358,2.0249,2.1504,500,0.9308,89,2.2522,0.9374,0.0135,10320,14.7738,3.8753,13.2684,6.6003,24.9108,2.2175,8.4930,0.9435,0.7598,2.5663,2.8786,0.1429,0.0000,0.0000,15.9780,0.0465,0.0000,0.0006,0.6217,1.9229,0.0000,1.0788,0.0000,11.5559,37.4082,24.2762,5.9998,0.0000,0.0000,11.5757,1.3061,0.0000,0.5282,0.0000,2.3634,0.6649,0.5846,0.0000,1.2263,1.4318,7.2211,0.0703,1.0000,0.0206,0.1456,0.0000,0.0000,0E0,5.0000,0.0206,0.1456,0.0000,0.0000,0E0,10.0000,0.0206,0.1456,0.0000,0.0000,0E0,10.7454,0.0206,0.1456,0.0000,0.0000,0E0,10.7454,0.0206,0.1456,0.0000,0.0000,0E0,12.2300,0.0897,0.1006,0.1006,0.0899,0E0,10.7454,0.0206,0.1456,0.0000,0.0000,0E0,13.1099,0.1317,0.0905,0.1034,0.0899,0E0,10.7454,0.0206,0.1456,0.0000,0.0000,0E0,10.7454,0.0206,0.1456,0.0000,0.0000,0E0,10.9766,0.0262,0.1325,0.1006,0.0899,0E0
12748 (average),357.6000,2.0442,2.1686,500.0000,0.9322,89.4000,2.1309,0.9312,0.0136,10320.8000,15.0841,2.6721,13.7080,5.3766,24.0240,1.8606,10.2876,2.9058,0.9240,2.1857,2.8679,0.0768,0.0005,0.0000,15.5831,0.0517,0.0349,0.0781,0.3062,1.9720,0.0826,0.4490,0.0000,12.5238,34.4816,28.8452,5.2689,0.0000,0.2200,11.3800,0.6820,0.1918,0.1056,0.0000,2.4577,0.7227,0.3604,0.3694,1.5313,0.3281,7.2001,0.0689,1.0000,0.0199,0.1438,0.0783,0.0803,0.0000,5.0000,0.0199,0.1438,0.0783,0.0803,0.0000,10.0000,0.0326,0.1333,0.0783,0.0803,0.0000,2.7753,0.0198,0.6515,0.0000,0.0000,0.0000,7.5278,0.0727,0.3725,0.0392,0.0578,0.0000,12.0821,0.0885,0.1001,0.1001,0.0983,0.0000,13.6883,0.1572,0.0917,0.0872,0.0937,0.0000,12.5395,0.1130,0.1017,0.1023,0.1073,0.0000,13.6965,0.1562,0.0924,0.0923,0.0847,0.0000,6.5864,0.0324,0.3845,0.0353,0.0556,0.0000,10.7995,0.0295,0.1299,0.0984,0.0983,0.0000
13468_0,44,2.9282,3.5626,500,0.9545,12,3.0716,0.9210,0.0480,10039,4.0526,0.1484,8.1330,7.0196,2.1036,9.1036,3.1017,27.0626,0.2250,0.0170,0.8947,0.3484,1.3036,0.0029,9.3899,0.0809,0.0007,0.0000,0.0013,27.0106,0.0000,3.6731,0.0000,20.9869,7.2732,0.0000,0.0000,0.0000,0.0000,0.0000,1.7172,0.0000,2.7598,3.5394,18.8183,6.5103,3.6412,0.0000,3.7506,27.3301,6.2896,0.0264,1.0000,0.0082,0.1243,0.0909,0.1667,4.578E-8,5.0000,0.0082,0.1243,0.0909,0.1667,4.578E-8,10.0000,0.0082,0.1243,0.0909,0.1667,4.578E-8,0.6321,0.0082,0.7769,0.0000,0.0000,4.833E-2,17.2897,0.1398,0.0338,0.0909,0.1667,1.196E-13,11.4297,0.0189,0.0909,0.0909,0.1667,2.15E-9,17.2897,0.1398,0.0338,0.0909,0.1667,1.196E-13,10.6213,0.0082,0.1243,0.0909,0.1667,4.578E-8,38.6609,0.7361,0.0098,0.2045,0.1667,5.095E-19,11.6335,0.0212,0.0856,0.0909,0.1667,1.181E-9,13.8105,0.0590,0.0536,0.0909,0.1667,1.167E-11
13468_1,45,2.8298,3.4720,500,0.9478,11,3.5042,0.9558,0.0372,10039,5.6563,0.0004,6.0414,6.4211,0.0450,10.7905,5.2185,25.2227,1.0373,0.0000,0.0641,0.0048,0.2195,0.7418,12.8089,0.0596,0.4319,0.0002,0.0006,25.2355,0.0000,0.0000,10.6645,0.0000,1.8104,0.0000,3.2430,10.5655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.6573,1.9041,0.0000,12.1662,0.0000,24.9891,6.3907,0.0290,1.0000,0.0110,0.1070,0.1111,0.0909,1.95E-9,5.0000,0.0110,0.1070,0.1111,0.0909,1.95E-9,10.0000,0.0110,0.1070,0.1111,0.0909,1.95E-9,0.9012,0.0110,0.7595,0.0000,0.0000,4.853E-2,0.9012,0.0110,0.7595,0.0000,0.0000,4.853E-2,13.0348,0.0110,0.1070,0.1111,0.0909,1.95E-9,18.6830,0.1418,0.0336,0.1111,0.0909,1.938E-14,13.4117,0.0171,0.0909,0.1111,0.0909,3.906E-10,21.5604,0.2245,0.0252,0.1333,0.0909,1.111E-15,0.9012,0.0110,0.7595,0.0000,0.0000,4.853E-2,14.9661,0.0486,0.0594,0.1111,0.0909,5.661E-12
13468_2,45,2.6969,3.3355,500,0.9381,11,4.0398,0.9952,0.0014,10038,5.5093,1.4677,4.8874,8.2017,10.2223,5.5059,1.9695,21.1751,1.6413,0.9583,0.0000,0.6748,0.1192,0.0000,9.8324,0.1245,0.0000,0.0009,0.0030,27.7067,0.0000,0.0000,0.0136,0.0000,9.9797,4.2609,8.9164,2.1966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.4891,0.0000,0.0000,5.0824,0.3954,55.6659,6.5202,0.0329,1.0000,0.0148,0.1083,0.0000,0.0000,2.401E-11,5.0000,0.0148,0.1083,0.0000,0.0000,2.401E-11,10.0000,0.0148,0.1083,0.0000,0.0000,2.401E-11,15.3004,0.0148,0.1083,0.0000,0.0000,2.401E-11,15.3004,0.0148,0.1083,0.0000,0.0000,2.401E-11,15.3026,0.0149,0.1083,0.1333,0.0000,2.401E-11,15.3004,0.0148,0.1083,0.0000,0.0000,2.401E-11,35.6825,0.7077,0.0127,0.1778,0.0000,1.33E-21,35.6825,0.7077,0.0127,0.1778,0.0000,1.33E-21,15.3004,0.0148,0.1083,0.0000,0.0000,2.401E-11,16.8433,0.0418,0.0675,0.1333,0.0000,1.335E-13
13468_3,45,3.0378,3.6899,500,0.9575,11,2.5373,0.9117,0.0496,10040,1.5620,0.0000,7.4593,4.9568,0.0170,11.4581,5.2678,27.9089,2.3825,0.7573,0.0803,0.0000,2.3135,0.0019,11.8802,0.0002,0.8031,0.0000,0.0000,23.1510,0.0000,0.0000,4.9310,0.0000,1.5204,0.5314,10.3513,7.0738,0.0000,0.0000,3.1523,0.0000,1.7867,2.7790,15.8547,0.0000,0.0000,0.0000,0.0000,52.0194,6.1844,0.0237,1.0000,0.0072,0.1099,0.0000,0.0000,2.814E-11,5.0000,0.0072,0.1099,0.0000,0.0000,2.814E-11,10.0000,0.0072,0.1099,0.0000,0.0000,2.814E-11,10.4588,0.0072,0.1099,0.0000,0.0000,2.814E-11,19.9774,0.2464,0.0220,0.0889,0.2727,8.571E-12,10.8958,0.0131,0.0888,0.0889,0.1818,1.606E-8,10.4588,0.0072,0.1099,0.0000,0.0000,2.814E-11,10.4603,0.0073,0.1099,0.0889,0.1818,1.041E-7,10.4588,0.0072,0.1099,0.0000,0.0000,2.814E-11,10.4588,0.0072,0.1099,0.0000,0.0000,2.814E-11,13.2701,0.0533,0.0483,0.0889,0.2727,4.289E-9
13468_4,45,2.8054,3.4460,500,0.9466,11,3.5335,0.9557,0.0379,10040,9.6093,1.3984,6.0764,7.5108,0.5327,6.8805,3.7360,21.9034,2.5491,0.0016,0.0131,0.6670,0.5242,0.6973,12.6859,0.1073,0.4322,0.0000,0.0001,24.6746,0.0000,0.0000,9.8537,0.0000,0.0000,0.5328,0.0000,2.8186,1.6906,0.0000,0.0000,0.0000,8.0287,0.0000,47.5222,0.0000,0.0000,0.0000,4.7377,24.8157,6.4100,0.0296,1.0000,0.0112,0.1158,0.1111,0.0909,4.281E-9,5.0000,0.0112,0.1158,0.1111,0.0909,4.281E-9,10.0000,0.0112,0.1158,0.1111,0.0909,4.281E-9,0.8714,0.0112,0.7683,0.0000,0.0000,5.508E-2,0.8714,0.0112,0.7683,0.0000,0.0000,5.508E-2,13.0524,0.0125,0.1112,0.1111,0.0909,2.847E-9,20.5730,0.1857,0.0296,0.1111,0.0909,5.493E-15,13.5922,0.0202,0.0909,0.1111,0.0909,3.902E-10,33.0552,0.6343,0.0132,0.1556,0.0909,1.808E-18,0.8714,0.0112,0.7683,0.0000,0.0000,5.508E-2,15.2731,0.0531,0.0605,0.1111,0.0909,6.783E-12
13468 (average),44.8000,2.8596,3.5012,500.0000,0.9489,11.2000,3.3373,0.9479,0.0348,10039.2000,5.2779,0.6030,6.5195,6.8220,2.5841,8.7477,3.8587,24.6545,1.5670,0.3468,0.2104,0.3390,0.8960,0.2888,11.3195,0.0745,0.3336,0.0002,0.0010,25.5557,0.0000,0.7346,5.0926,4.1974,4.1167,1.0650,4.5021,4.5309,0.3381,0.0000,0.9739,0.0000,2.5150,1.2637,26.0683,1.6829,0.7282,3.4497,1.7767,36.9640,6.3590,0.0283,1.0000,0.0105,0.1131,0.0626,0.0697,0.0000,5.0000,0.0105,0.1131,0.0626,0.0697,0.0000,10.0000,0.0105,0.1131,0.0626,0.0697,0.0000,5.6328,0.0105,0.5046,0.0000,0.0000,0.0304,10.8680,0.0846,0.3384,0.0360,0.0879,0.0207,12.7431,0.0141,0.1012,0.1071,0.1061,0.0000,16.4610,0.0979,0.0630,0.0626,0.0697,0.0000,16.7536,0.1521,0.0857,0.1160,0.1061,0.0000,27.8836,0.4620,0.0342,0.1342,0.0697,0.0000,7.8331,0.0131,0.3663,0.0182,0.0333,0.0207,14.8326,0.0512,0.0579,0.1071,0.1242,0.0000
13711_0,342,2.1707,2.3030,500,0.9509,86,2.2977,0.9530,0.0097,10326,31.2445,4.4990,15.9517,5.8201,2.4502,1.9005,5.1817,0.9381,0.7551,6.4138,3.7391,0.0000,0.7500,0.0000,14.6957,0.8904,0.0000,0.0000,0.6193,4.1509,13.1904,1.7211,0.3386,24.5021,6.7712,17.3535,8.3887,0.0000,1.3654,13.6328,0.8483,0.0000,0.0000,0.0000,6.0101,3.0244,0.0000,0.0000,1.8830,0.9705,7.0719,0.0635,1.0000,0.0078,0.1841,0.0439,0.0349,0E0,5.0000,0.0176,0.1499,0.0439,0.0349,0E0,10.0000,0.2083,0.0841,0.0760,0.0581,0E0,0.3145,0.0078,0.8185,0.0000,0.0000,6.307E-6,12.9667,0.3086,0.0724,0.0994,0.0581,0E0,11.1624,0.2438,0.0789,0.0789,0.0581,0E0,10.6804,0.2293,0.0809,0.0760,0.0581,0E0,13.9355,0.3379,0.0697,0.1023,0.0698,0E0,13.2531,0.3213,0.0717,0.1023,0.0581,0E0,5.5132,0.0411,0.1286,0.0439,0.0349,0E0,6.2485,0.0726,0.1141,0.0585,0.0349,0E0
